const_c,conservative,labour,ld,other,spoil,winner,true_winner,match
E14000856,32143,13954,4579,10370,111,conservative,conservative,1
E14000857,34172,23162,8434,2942,2856,conservative,conservative,1
E14000858,24080,30012,4330,5281,1110,labour,conservative,0
E14000859,30704,19816,6446,4148,428,conservative,conservative,1
E14000860,23397,23705,7038,5599,2487,labour,conservative,0
E14000861,17008,37692,2466,3330,0,labour,conservative,0
E14000862,21241,30613,4059,5041,824,labour,conservative,0
E14000863,26880,21801,4445,3122,260,conservative,conservative,1
E14000864,28422,25343,7901,4554,396,conservative,labour,0
E14000865,19562,33235,4314,5144,691,labour,labour,1
E14000866,18802,29083,2625,3747,140,labour,labour,1
E14000867,21453,40511,4018,5125,319,labour,labour,1
E14000868,26975,24392,2560,3890,1779,conservative,conservative,1
E14000869,29934,13222,8055,2260,1338,conservative,conservative,1
E14000870,35250,19439,4150,2875,200,conservative,labour,0
E14000871,33120,14964,4121,4409,749,conservative,labour,0
E14000872,33850,8214,7732,2248,4270,conservative,conservative,1
E14000873,30790,26415,17155,4508,2162,conservative,labour,0
E14000874,30048,15968,19529,3160,1541,conservative,liberal_dem,0
E14000875,32324,12804,5206,3367,654,conservative,conservative,1
E14000876,21681,21704,7447,3809,1997,labour,conservative,0
E14000877,33342,13319,4830,2842,301,conservative,conservative,1
E14000878,32473,20464,12293,6373,976,conservative,conservative,1
E14000879,21456,21809,5437,4999,2152,labour,conservative,0
E14000880,25414,29638,5506,4916,3587,labour,labour,1
E14000881,22494,25342,7482,7138,1151,labour,conservative,0
E14000882,43649,27979,20033,3930,3632,conservative,labour,0
E14000883,27505,15959,8571,2630,3449,conservative,conservative,1
E14000884,29287,17086,11583,2863,4881,conservative,labour,0
E14000885,30094,14408,5270,3373,750,conservative,labour,0
E14000886,20859,24892,8547,4075,1809,labour,conservative,0
E14000887,28037,19082,12055,3515,975,conservative,labour,0
E14000888,29532,23540,7807,2987,111,conservative,conservative,1
E14000889,28534,32543,12914,3090,256,labour,labour,1
E14000890,27656,20985,16504,3013,744,conservative,conservative,1
E14000891,32467,11487,3133,3628,2112,conservative,conservative,1
